100na,100int,200na,NEC,M10na,M10int,K85,LABEL,Description
0,,,,,,0,,
0080,,,,,,0080,KWTABL,BASIC keywords table
0262,,,,,,0262,KWADDRS,BASIC keyword addresses table
031C,,,,,,031C,ERRMSGS,error messages table
0396,,,,,,0396,,
03EA,,,,,,03F2,STR_Error,"' Error',00"
03F1,,,,,,03F9,STR_in,"' in ',00"
03F6,,,,,,03FD,STR_OKcrlf,"'Ok',cr,lf,00"
03FB,,,,,,0402,STR_Break,"'Break',00"
045D,,,,,,0464,,generate error in E
0511,,,,,,0518,,
05F0,,061B,,,,05F7,UBLNAS,update line number addresses for the current BASIC program
05F3,,,,,,05FA,,
0726,,,,,,072D,FOR,
0804,,,,,,080B,,
0872,,,,,,0879,DEF,
08DB,,,,,,08E2,,
08EB,,,,,,08F2,,convert ascii at M to binary
091E,,,,,,0925,GOSUB,
0936,,,,,,093D,GOTO,
0966,,,,,,096D,RETURN,
096E,,,,,,09A5,DATA,
09A0,,,,,,09A7,REM,
09C3,,,,,,09CA,LET,
090F,,,,,,0916,RUN,
0912,,,,,,0919,RUN2,
091E,,,,,,0925,GOSUB,
0935,,,,,,093C,RUN4,
0936,,,,,,093D,GOTO,
0A2F,,,,,,0A36,ON,
0AB0,,,,,,0AB7,RESUME,
0B0F,,,,,,0B16,ERROR,
0B1A,,,,,,0B21,IF,
0B4E,,,,,,0B55,LPRINT,
0B56,,,,,,0B5D,PRINT,
0C45,,,,,,0C4C,LINE,
0CA3,,,,,,0CAA,INPUT,
0CD9,,,,,,0CE0,READ,
0DAB,,,,,,0DB2,,
0DB7,,,,,,0DBE,,
0F1C,,,,,,0F23,,evaluate function at M
0FE8,,,,,,0FEF,TOUPPERM,"read M to A, upcase A"
0FE9,,1014,,,,0FF0,TOUPPER,upcase A
10D1,,,,,,10D8,,
110C,,,,,,1113,OUT,
112E,,,,,,1135,,
1131,,,,,,1138,,
113B,,,,,,1142,LLIST,
1140,,,,,,1147,LIST,
11A2,,11CC,,11A5,,11A9,PTILL0,Print NUL terminated  string  to current display device
11AA,,,,,,11B1,,
128B,,,,,,1294,POKE,
12CB,,12F7,,12D0,12D4,12D4,CHGET,wait for chr
13DB,,,,13E0,13E4,,CHSNS,
1419,,,,,,1422,POWER,
1470,,,,1480,1484,,PNOTAB,
1494,,15AC,,,,,IOERR,generate IO err
14A8,,,,14B0,14B4,,CTON,turn cassette motor on
14AA,,,,14B2,14B6,,CTOFF,turn cassette motor off
14B0,,,,14B8,14BC,,CASIN,"read char from cassette, update checksum"
14C1,,,,14C9,14CD,,CSOUT,"write char to cassette, update checksum"
14D8,,15EF,,,,,OPENCONS,LCD and PRT file open routine
14E5,,15FC,,,,14F0,LCDOUT,output to LCD file
14E7,,,,,,14F2,,
14EA,,1601,,,,14A0,RTPOPALL,"renew power off timer, popall, ret"
14ED,,1604,,,,14F8,POPALL,pop all & ret
14EE,,1605,,,,14F9,POPALL2,POPALL without POP PSW
14F2,,1609,,,,14FD,CRTCTL0,DW 14F8 x 160F x x x 1503
14F4,,160B,,,,14FF,CRTCTL1,DW 4D59 x 5C18 x x x 4D0F
14F6,,160D,,,,1501,CRTCTL2,DW 14FA x 1611 x x x 1505
14F8,,160F,,,,1503,,RST_7 40 x 44 x x x 4C
14FA,,1611,,,,1505,,RST_7 44 x 48 x x x 50
14FC,,,,,,1507,RAMCTL0,DW 1506 x 161D x x x 1511
14FE,,,,,,1509,RAMCTL1,DW 158D x 16A4 x x x 1598
1500,,,,,,150B,RAMCTL2,DW 15AC x 16DA x x x 15B7
1502,,,,,,150D,RAMCTL3,DW 15C4 x 16F2 x x x 15CF
1504,,,,,,150F,RAMCTL4,DW 161B x 1749 x x x 1626
1506,,161D,,,,1511,,open RAM file
158D,,16A4,,,,1598,,
15AC,,16D4,,,,15B7,,
15C4,,16F2,,,,15CF,,
161B,,1749,,,,1626,,
1754,,1882,,,,,LPTCTL0,DW 14D8 x 15EF x x x x
1756,,1884,,,,,LPTCTL1,DW 4D59 x 5C18 x x x 4D0F
1758,,1886,,,,,LPTCTL2,DW 175A x 1888 x x x x
175A,,1888,,,,,LPTOUT,
1762,,1890,,,,,COMCTL0,DW 176D x 189B x x x x
1764,,1892,,,,,COMCTL1,DW 179E x 18D2 x x x 1792
1766,,1894,,,,,COMCTL2,DW 17A8 x 18DC x x x x
176C,,189A,,,,,OPENMDM,open MDM file
176D,,189B,,,,,OPENCOM,open COM file
179E,,18D2,,,,1792,CLOSECOM,
17A8,,18DC,,,,179C,COMOUT,output A to com/mdm file (wrapper & extra stuff around SND232)
--,,,,,,17A1,,JNC x x x x 14F5
17AD,,,,,,17A4,,JMP 14EA x x x 14A0
17B0,,18E7,,,,,,Input from COM/MDM file
